URL da manifestação,Titulo,categoria,Situação,Registro,Alteração,Tipo,Nº Mês
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150729110444,Coleta de lixo vegetal,LIXO,Tramitando,29/07/15,06/08/2015 13:54,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150817151649,COLETA RESÍDUOS VEGETAIS DE JARDIM,LIXO,Aceito,17/08/15,20/08/2015 15:41,Reclamação,8
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150720085945,COLETA RESÍDUOS VEGETAIS DE JARDIM,LIXO,Tramitando,20/07/15,06/08/2015 14:48,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150730083716,Concurso Publico Guarda Municipal de Curitiba - Banca UFPR,CONCURSO,Pendente,30/07/15,30/07/2015 08:37,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150713101052,conserto da calçada,LIXO,Pendente,13/07/15,13/07/2015 10:10,Solicitação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150713095833,conserto de placa de rua,OBRAS,Aceito,13/07/15,24/07/2015 11:36,Solicitação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150713100125,conserto de placa de rua,OBRAS,Aceito,13/07/15,24/07/2015 11:42,Solicitação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150713100427,Conserto de placa de rua,OBRAS,Aceito,13/07/15,24/07/2015 11:45,Denúncia,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150721134824,Corte de árvore,PODA,Tramitando,21/07/15,06/08/2015 15:45,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150821160611,Corte de árvore e recolhimento de lixo vegetal.,PODA,Pendente,21/08/15,21/08/2015 16:06,Reclamação,8
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150803113952,Descaso com solicitação 156 - manifestação por email.,156,Resolvida,03/08/15,06/08/2015 15:40,Reclamação,8
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150520153105,Descumprimento da Lei,POSTURA,Resolvida,20/05/15,11/06/2015 16:01,Reclamação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150721174453,descumprimento da lei 12.527/11 ( lei de acesso a informação),LAI,Pendente,21/07/15,21/07/2015 17:44,Denúncia,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150709165359,descumprimento da lei de acesso a informação,LAI,Pendente,09/07/15,09/07/2015 16:53,Denúncia,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150525170016,desidia e mal funcionamento em conselho municipal,LAI,Aceito,25/05/15,02/06/2015 08:57,Denúncia,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150721132816,Desratização,VIG.SANITÁRIA,Tramitando,21/07/15,06/08/2015 16:23,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150810155456,Desvio material SMOP,SMOP,Rejeitado,10/08/15,10/08/2015 15:59,Denúncia,8
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150520134542,Disponibilização de autorizações áreas verdes,TRANSPARENCIA,Resolvida,20/05/15,21/07/2015 11:25,Sugestão,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150804104915,EROSÃO EM GALERIA DE ÁGUAS PLUVIAIS,OBRAS,Tramitando,04/08/15,20/08/2015 10:39,Reclamação,8
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150811091347,EROSÃO EM GALERIA DE ÁGUAS PLUVIAIS,OBRAS,Tramitando,11/08/15,20/08/2015 15:09,Reclamação,8
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150717151846,Esclarecimentos  ações e providências concretas da ouvidoria,LAI,Pendente,17/07/15,17/07/2015 15:18,Solicitação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150805151819,Esgoto vazando,OBRAS,Tramitando,05/08/15,20/08/2015 10:42,Reclamação,8
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150706103459,EStacionamento irregular de caminhões,SETRAN,Aceito,06/07/15,09/07/2015 16:04,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150522113734,Estacionamento Irregular e perturbação do sossego,SETRAN,Tramitando,22/05/15,16/07/2015 09:03,Reclamação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150526111308,Estreitamento de rua,PREFEITURA,Tramitando,26/05/15,21/07/2015 15:00,Reclamação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150806102209,Falta de atendimento no posto de saúde da Ouvidor Pardinho.,SAÚDE,Pendente,06/08/15,06/08/2015 10:22,Reclamação,8
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150731112133,Falta de atendimento Setran,SETRAN,Aceito,31/07/15,20/08/2015 10:24,Denúncia,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150811162419,Falta de Atendimento SETRAN - manifestação por email,SETRAN,Pendente,11/08/15,11/08/2015 16:38,Reclamação,8
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150729234824,Falta de resposta em protocolo 156 - transparência não existe?,156,Pendente,29/07/15,29/07/2015 23:48,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150526123039,falta de resposta solicitação 156,156,Tramitando,26/05/15,21/07/2015 15:34,Reclamação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150803153713,Falta de retorno de reclamação 156 de prefeitura de Curitiba,156,Tramitando,03/08/15,20/08/2015 10:34,Reclamação,8
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150525162637,falta de transparência e eficiência na central 156,156,Resolvida,25/05/15,21/07/2015 12:00,Reclamação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150720132602,Feiras Largo da Ordem,PREFEITURA,Resolvida,20/07/15,21/07/2015 08:54,Solicitação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150722152332,Férias,MAL ATENDIMENTO,Rejeitado,22/07/15,20/08/2015 11:32,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150521095158,Fiscalização de COPEL e SANEPAR,CGE,Resolvida,21/05/15,11/06/2015 16:22,Reclamação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150713115432,Fiscalização de estrutura de obra,FISCALIZAÇÃO,Pendente,13/07/15,13/07/2015 11:54,Solicitação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150629161912,Horário para estacionar,ESTACIONAMENTO,Resolvida,29/06/15,09/07/2015 11:54,Sugestão,6
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150803115945,Iluminação Publica,ILUMINAÇÃO,Tramitando,03/08/15,06/08/2015 15:50,Reclamação,8
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150715010645,Iluminação Publica,ILUMINAÇÃO,Tramitando,15/07/15,20/08/2015 15:14,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150706150705,Iluminação Pública,ILUMINAÇÃO,Tramitando,06/07/15,20/08/2015 10:46,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150713103429,Iluminação Pública,ILUMINAÇÃO,Pendente,13/07/15,13/07/2015 10:34,Solicitação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150819113029,iluminação pública,ILUMINAÇÃO,Aceito,19/08/15,20/08/2015 15:55,Reclamação,8
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150819114908,Iluminação pública,ILUMINAÇÃO,Aceito,19/08/15,20/08/2015 16:03,Solicitação,8
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150721154252,iluminação pública,ILUMINAÇÃO,Tramitando,21/07/15,06/08/2015 16:35,Solicitação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150731104051,Iluminação pública,ILUMINAÇÃO,Tramitando,31/07/15,20/08/2015 10:23,Solicitação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150807113356,Implantação de antipó com Urgência,ANTIPÓ,Aceito,07/08/15,10/08/2015 14:15,Solicitação,8
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150720110750,IMPLANTAÇÃO DE LUMINÁRIA,ILUMINAÇÃO,Tramitando,20/07/15,06/08/2015 16:13,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150521091537,Indisposição de servidor,OUVIDORIA SAUDE,Resolvida,21/05/15,11/06/2015 16:15,Reclamação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150803112445,Lavagem e varrição de rua,LIMPEZA,Tramitando,03/08/15,20/08/2015 10:28,Reclamação,8
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150522105759,Lei 13.805/2011,INFORMAÇÃO,Resolvida,22/05/15,11/06/2015 16:27,Solicitação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150720165320,Limites de recarga do Cartão Transporte.,URBS,Aceito,20/07/15,20/07/2015 16:59,Reclamação,7
