http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20151007102216 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20151007145751 - omc|falta de atendimento
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20151007145802 - omc|falta de atendimento
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20151007145805 - omc|falta de atendimento
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20151007195233 - omc|falta de atendimento
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20151008111001 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20151009204209 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20151016082403 - fiscalização
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20151016112813 - urbs|bom atendimento
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20151028095141 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20151028170039 - smma|coleta de entulho
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20151029152659 - smu|fiscalização de terreno
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20151103114735 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20151110164423 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20151110165053 - smma|coleta de caliça
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20151111083243 - omc|falta de atendimento
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20151120105605 - sgm|abertura de rua
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20151120203918 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20151123083154 - smma|coleta de lixo vegetal
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20151123094839 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20151125100053 - smma|remoção de toco
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20151204145848 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20151208094721 - setran|sinalização de trânsito
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20151210152843 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20151211160022 - smop|caixa de captação
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20151212123927 - setran|bloqueio de rua
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20151212125318 - smma|inspeção mosquito da dengue
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20151214094739 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20151215152445 - setran|fiscalização de trânsito
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20151215223622 - sme|vagas em cemei
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20151215224404 - sme|vagas em cemei
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20151222182926 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20151226191455 - omc|prazo para resposta
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160104134549 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160113145621 - smma|coleta de caliça
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160114110247 - sms|bom atendimento
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160114162712 - ippuc|demora no atendimento
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160118170430 - omc|falta de atendimento
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160125150017 - smma|coleta de lixo vegetal
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160125155421 - smu|fiscalização de comércio
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160128121251 - smf|iptu
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160203142823 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160203181725 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160212141528 - smma|coleta de caliça
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160212145358 - smma|coleta de caliça
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160216115822 - smop|caixa de captação
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160217140205 - smma|coleta de lixo vegetal
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160218162110 - smop|caixa de captação
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160219085801 - sgm|boleto de multa
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160223085948 - smu|inspeção mosquito da dengue
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160223113628 - smma|coleta de lixo vegetal
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160224162624 - smma|coleta de caliça
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160225094406 - sgm|conselho tutelar
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160226165025 - smma|coleta de lixo vegetal
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160229101804 - smma|corte de árvore
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160229114640 - smma|coleta de caliça
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160229125751 - smma|inspeção mosquito da dengue
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160229152048 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160302210627 - sme|manutenção em cmei
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160303112611 - smma|poda de árvore
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160303182649 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160304160527 - smma|limpeza terreno
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160308084254 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160309115607 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160309163829 - smu|obstrução de calçada
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160310091536 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160310105617 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160310110313 - smma|coleta de lixo vegetal
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160310113232 - smma|coleta de lixo vegetal
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160310113601 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160310143527 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160311081230 - smma|coleta de lixo vegetal
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160311082239 - smma|coleta de lixo vegetal
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160311140658 - smma|coleta de caliça
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160311141446 - smma|coleta de lixo vegetal
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160314144758 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160316083321 - smu|obstrução de calçada
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160316100944 - pmc|legislação municipal
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160316150041 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160316155310 - smu|numeração predial
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160316174733 - smop|erosão em galeria de águas pluviais
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160317165202 - smma|inspeção mosquito da dengue
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160318084404 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160318152111 - smma|coleta de lixo vegetal
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160318153937 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160318164800 - smma|coleta de entulho
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160320024051 - omc|falta de atendimento
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160321083921 - smma|coleta de caliça
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160321084310 - smu|fiscalização de templos religiosos
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160321094229 - smop|caixa de captação
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160321100204 - smma|coleta de caliça
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160321165519 - smma|coleta de lixo vegetal
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160321174830 - setran|fiscalização de trânsito
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160322091655 - urbs|transporte coletivo
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160323000953 - smma|poda de árvore
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160323085506 - sms|bom atendimento
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160324093307 - smma|coleta de lixo vegetal
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160324101824 - smma|coleta de lixo vegetal
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160324105303 - setran|fiscalização de trânsito
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160324135958 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160324160548 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160328223755 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160329083548 - smma|coleta de lixo vegetal
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160329084505 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160329110147 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160329214149 - omc|falta de atendimento
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160330083325 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160330084358 - smma|coleta de caliça
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160330112500 - cohab|demora no atendimento
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160330162430 - smma|inspeção mosquito da dengue
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160330163442 - smma|coleta de caliça
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160331092905 - smma|poda de árvore
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160331153835 - smma|coleta de lixo vegetal
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160401113902 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160401151335 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160404091417 - smma|coleta de entulho
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160404094817 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160404101649 - smma|poda de árvore
